Frequency,Monetary,Recency
1,121.18,45
10,1668.95,14
1,71.4,267
3,1575.89,39
1,236.02,337
1,114.6,11
2,260.68,18
2,911.94,95
1,112.08,61
1,60.7,135
4,1797.78,11
5,3016.69,10
4,870.09,19
4,869.46,9
2,250.26000000000002,15
6,1217.65,58
1,353.48,93
2,984.72,10
3,786.83,19
5,1520.58,56
1,333.74,267
3,533.98,122
1,62.64,127
4,819.2900000000001,78
1,349.25,240
2,163.2,200
2,2155.95,60
1,108.21000000000001,273
1,257.7,201
1,358.0,81
1,160.95,225
13,2662.18,4
7,1328.35,12
2,605.12,74
1,1031.07,212
2,744.85,24
3,609.58,17
1,329.56,261
3,439.58,96
3,270.40000000000003,112
1,585.12,203
1,121.74000000000001,92
1,430.5,50
6,1961.52,18
4,501.12,17
2,465.68,124
3,711.41,92
2,1030.4,156
1,173.81,9
3,672.83,11
1,283.18,61
1,557.62,61
2,944.1,268
1,200.29,263
5,2092.66,53
11,3174.75,17
1,211.49,37
2,276.56,31
1,138.98,113
2,590.9300000000001,63
4,258.4,15
1,542.73,40
1,137.75,78
3,798.46,122
3,1132.14,18
2,93.66,59
1,201.19,330
4,2709.12,23
1,361.11,155
2,578.94,38
2,873.74,189
1,87.4,137
4,2089.85,7
1,360.0,1
1,142.5,268
1,371.89,169
4,618.09,103
1,63.75,155
9,1864.66,4
1,15.0,120
3,1385.51,22
5,1456.79,7
3,1132.03,28
2,598.57,4
5,1555.3200000000002,22
3,775.94,1
4,2035.63,66
3,640.76,1
4,1532.2,78
2,567.36,72
1,199.48000000000002,17
5,787.85,3
1,675.3,81
6,2882.77,38
1,1308.48,316
1,484.79999999999995,31
3,1140.93,92
1,350.90000000000003,14
3,3502.32,82
1,795.12,77
1,487.02,157
1,860.12,200
1,775.85,260
1,353.43,177
3,2511.69,67
1,389.5,287
1,341.36,70
1,233.76000000000002,64
1,247.32,10
2,979.12,16
1,373.94,66
1,397.98,60
1,743.53,71
1,674.7,122
1,768.24,80
1,609.4,257
1,439.03000000000003,268
1,439.56,63
4,3090.7400000000002,9
2,992.5,17
1,134.96,71
2,2225.37,33
1,56.16,50
2,623.4,256
1,378.64,89
3,3312.25,60
1,778.65,88
3,1019.76,99
3,572.56,26
1,222.99,280
1,534.57,329
2,677.1,131
3,797.96,11
1,544.08,74
1,59.8,203
8,2520.02,1
1,307.72,185
2,1360.99,29
5,1544.13,72
1,457.34000000000003,192
1,312.95,127
1,75.0,17
2,252.49,1
3,572.451,74
5,1003.06,24
1,213.55,107
3,1390.5,133
2,712.5,43
2,640.83,4
1,221.06,63
2,159.85,149
2,1833.71,40
1,2626.3,64
3,1624.21,108
9,3304.34,0
3,582.6,19
1,201.78,10
4,1006.8,10
2,679.45,18
2,1269.1,67
2,534.24,74
1,196.89,1
7,3408.06,14
1,283.71,255
1,296.64,91
3,1129.14,23
3,2705.15,16
1,291.88,23
6,2043.72,26
5,2898.2599999999998,26
2,590.0,259
2,356.98,165
1,365.4,24
6,1766.72,17
2,183.44,29
3,1445.0,38
1,151.5,252
1,674.68,58
1,307.90000000000003,184
2,1071.91,10
2,165.0,99
4,2501.84,1
2,422.64,60
1,226.84,236
4,1431.78,191
2,1238.47,178
6,1454.58,37
2,300.95,200
5,1804.56,45
1,184.64000000000001,232
1,140.34,65
1,313.8,241
1,454.24,233
3,1122.41,78
2,382.25,57
4,449.52,105
8,1019.42,51
3,1269.84,136
2,618.63,275
1,316.26000000000005,311
3,1179.44,7
1,152.32,10
1,194.55,282
5,1159.1100000000001,17
3,1166.77,23
1,1340.32,288
3,292.0,16
1,216.85,71
1,295.93,64
1,157.4,316
4,2479.16,3
1,110.97,243
7,979.72,8
4,1791.56,1
1,251.21,260
1,205.1,126
1,152.20000000000002,73
4,891.12,72
3,1389.41,21
3,2128.42,59
1,627.16,85
1,122.75,78
5,3320.95,58
3,1071.73,1
1,125.80000000000001,30
4,3397.93,33
5,680.1800000000001,40
2,628.78,14
7,2242.36,33
2,307.76,78
1,178.35,205
1,210.31,33
3,269.09,182
7,3444.39,1
7,1280.85,43
3,631.34,85
2,276.06,39
3,621.09,12
2,678.16,96
7,918.2,25
1,91.80000000000001,319
2,584.0600000000001,28
4,594.52,5
1,171.42000000000002,7
1,141.85999999999999,215
3,1799.3300000000002,81
2,777.53,84
1,550.64,144
2,240.22,19
2,856.84,40
1,187.05,173
1,228.8,17
1,239.49,243
12,2088.94,12
1,1384.25,205
2,290.25,50
5,732.07,23
4,1687.6000000000001,25
1,302.34000000000003,14
1,118.0,309
1,781.03,155
1,142.4,306
1,712.4,63
9,2478.95,15
2,379.65,14
6,1981.92,11
3,1117.13,64
4,247.95999999999998,35
5,2011.88,108
1,396.97,52
2,664.11,5
1,160.04,47
1,219.52,312
2,693.32,45
1,428.89,64
1,164.34,26
3,276.75,29
1,675.51,40
7,1082.33,12
2,851.25,89
4,1585.46,24
1,417.69,318
3,544.18,40
1,177.34,173
1,213.85,116
5,727.74,30
1,257.23,252
4,1327.28,59
7,2031.78,5
11,3070.42,99
5,2118.93,24
5,1547.3600000000001,33
1,1071.03,67
5,949.12,36
3,804.3,52
1,122.64,15
1,1033.34,74
1,312.28,215
3,519.44,31
4,2624.26,16
1,252.1,120
4,1648.1200000000001,9
1,148.8,256
6,1836.3400000000001,16
2,94.2,35
2,786.28,45
6,2707.33,43
2,932.97,114
2,379.65,164
2,382.14,10
5,2639.17,9
2,1563.0,205
3,881.26,85
1,189.47,179
3,84.65,60
1,299.05,149
2,218.55,50
1,349.7,75
2,186.39000000000001,301
2,387.44,18
2,486.82000000000005,151
1,232.6,151
4,827.83,17
1,59.5,187
1,65.13,285
7,3119.44,2
1,72.0,182
1,910.0,63
1,172.25,59
3,1488.32,24
15,2504.13,31
1,151.3,38
1,308.58000000000004,155
10,2248.63,26
1,99.5,318
9,2308.06,5
2,393.72,7
1,330.79,302
2,806.41,267
1,285.33,271
1,180.48,31
2,252.06,218
1,228.84,246
2,582.71,281
1,138.28,269
6,1445.01,32
2,306.55,246
5,1041.68,15
4,799.9,116
1,524.14,36
3,2375.41,131
1,199.85000000000002,217
8,1980.56,49
2,1079.66,38
2,333.48,28
6,1016.14,36
2,752.6,135
2,610.59,219
1,491.86,28
4,2883.54,24
2,729.8,5
1,339.6,200
1,216.9,18
1,350.75,240
3,668.4300000000001,71
12,3107.87,16
7,1341.6,2
2,1080.52,95
1,300.04,162
4,744.25,95
5,1647.26,53
1,296.25,288
6,1175.38,124
1,741.26,287
2,282.6,151
9,2108.06,3
5,2471.7,11
2,659.4100000000001,33
2,286.79,54
2,1070.65,50
1,306.72,218
1,1714.96,63
3,1519.42,70
9,2474.21,2
4,2634.45,64
3,1122.63,33
1,345.0,81
1,178.7,103
2,360.01,7
1,127.84,250
6,908.86,12
11,2462.79,9
1,202.64,75
1,348.79999999999995,4
2,1516.0,127
2,195.55,66
2,688.86,116
1,558.32,309
1,324.8,66
1,277.07,255
7,2588.39,30
2,924.5999999999999,52
1,256.38,63
5,1747.66,5
1,155.05,305
3,1499.01,28
3,814.5,183
3,539.0,42
4,1366.8600000000001,39
2,1579.12,92
2,571.6700000000001,23
1,254.28,29
3,1140.35,301
2,385.64,144
2,632.0,5
2,957.66,18
5,1698.94,32
1,189.5,176
3,409.8,57
1,209.49,22
5,1790.4499999999998,16
1,52.2,19
1,383.85,159
4,834.57,25
2,266.59000000000003,211
3,444.16,5
1,85.0,252
8,3075.05,58
1,361.62,11
1,312.98,64
2,453.66,24
2,935.0,92
2,1537.95,51
1,1595.48,129
3,2651.46,95
1,1090.1399999999999,57
3,388.5,168
1,216.17000000000002,57
1,201.16,326
5,1245.9,1
8,2209.36,18
1,305.78,247
4,501.56,58
1,145.67,74
3,1005.09,31
2,3192.54,7
3,2760.03,123
8,2770.94,2
3,389.6,119
5,1786.79,53
1,122.7,63
1,117.24,86
1,1271.57,54
12,3121.97,21
5,1191.13,2
5,2674.48,10
5,787.6,7
2,506.8,189
1,243.56,71
1,349.55,204
2,595.67,119
1,416.90000000000003,92
9,1693.46,1
4,632.97,26
1,821.1,297
3,564.62,23
4,2593.07,28
1,311.16,50
1,155.93,325
2,388.52,16
3,740.95,183
5,2867.2000000000003,72
2,332.64,37
4,2369.55,79
9,2580.91,57
2,626.45,11
2,272.04,49
2,1212.8400000000001,49
2,384.81,59
1,351.13,53
6,1838.8500000000001,1
4,678.25,92
1,223.85000000000002,23
1,348.99,74
4,464.57,10
2,842.65,169
2,337.34,57
2,1237.53,95
1,307.4,294
2,608.79,109
1,922.1,263
1,376.58,179
1,158.85,169
1,71.66,35
3,568.55,23
4,839.14,17
3,561.57,79
1,90.60000000000001,65
6,2427.32,2
4,745.0600000000001,11
3,674.45,176
2,3251.071,217
6,3015.68,7
2,439.92,1
2,322.96,154
5,1019.27,5
2,379.3,79
2,230.22,21
2,169.54999999999998,21
3,513.24,308
1,80.7,145
8,2758.26,18
2,190.25,70
1,264.7,287
1,413.59000000000003,49
6,2461.2400000000002,31
1,357.98,206
2,196.79,14
1,869.87,73
1,200.14,60
3,1443.21,39
11,2274.07,29
4,765.71,26
1,320.46,17
2,1266.08,65
1,311.3,213
6,852.88,12
1,76.8,30
9,3466.36,42
6,2274.14,3
5,1393.69,15
1,635.66,211
2,1741.8400000000001,45
2,529.73,134
5,2874.72,9
3,962.19,115
2,695.61,198
1,328.8,277
3,473.02,110
1,505.18,77
1,917.34,52
3,1421.6100000000001,46
2,642.8,16
3,631.9,155
1,440.0,225
2,584.07,7
2,327.7,121
1,104.82,60
2,467.66,63
6,1682.34,18
9,2356.17,2
3,648.89,22
5,1428.02,28
1,626.65,284
1,35.400000000000006,176
3,1560.38,78
1,152.2,33
12,3560.32,40
1,141.41,266
4,646.42,26
3,1333.35,109
1,154.99,284
4,1021.69,8
1,409.93,305
2,746.36,31
1,225.35999999999999,19
2,260.25,124
1,92.46000000000001,65
1,725.6400000000001,106
1,183.6,266
5,1334.34,29
1,152.55,266
2,374.7,63
1,265.85,320
8,1437.57,3
1,151.04,32
3,942.26,4
1,118.67,129
5,499.42,40
5,913.1299999999999,101
1,375.1,124
1,45.599999999999994,32
1,498.1,302
6,558.54,4
15,3255.8,2
1,191.47,2
1,158.75,56
1,76.32000000000001,324
12,3475.1800000000003,7
1,433.86,12
1,147.35,36
10,2720.65,16
1,191.95,137
5,1105.8799999999999,5
2,216.21,154
1,1266.23,239
6,2339.9900000000002,51
2,597.91,30
1,144.2,72
4,692.85,14
7,2915.15,22
3,1406.92,3
2,386.53,273
5,1382.74,19
1,90.0,143
4,2780.15,3
1,419.58,84
3,2720.63,10
3,706.1300000000001,7
3,709.71,122
2,637.5,60
5,1123.8600000000001,1
1,480.91,319
3,605.64,129
2,965.88,1
1,415.82,46
2,935.05,3
4,915.13,2
1,115.8,133
4,2949.57,8
2,483.4,78
1,157.2,233
1,446.62,220
1,352.46,35
2,621.29,75
2,1345.62,239
1,118.75,266
2,424.89000000000004,19
1,507.65999999999997,40
2,814.47,215
2,289.36,173
4,2445.91,87
2,1631.77,70
1,120.44,275
4,562.59,39
1,363.79,98
4,450.84,10
1,134.46,33
3,3222.3,59
3,417.35,297
4,549.46,86
7,1600.26,8
2,701.57,40
1,452.89,66
1,197.65,331
6,2054.36,30
2,853.39,67
2,1012.0,201
1,335.52,106
4,701.4,18
1,185.39999999999998,218
6,680.2,60
1,150.61,2
2,466.7,16
1,328.15999999999997,239
1,151.74,94
6,2073.43,10
5,1600.89,105
9,2241.1,53
1,1070.48,89
5,1004.38,30
5,1623.72,11
4,1839.3,3
16,1886.68,1
1,169.48000000000002,42
1,89.94,4
1,319.42,247
9,3432.8,42
1,683.17,177
3,991.13,92
4,1009.73,110
5,2214.79,28
10,3350.96,26
3,1547.2,51
3,925.71,183
5,2048.07,42
4,1462.72,49
4,754.12,22
5,3144.86,75
1,301.56,80
1,146.85,326
11,2380.85,43
2,890.34,30
1,213.70000000000002,183
2,280.55,234
8,2116.77,8
2,1693.45,219
3,1474.06,110
1,136.77,278
1,302.58,318
3,1904.05,7
5,2879.7000000000003,1
1,445.20000000000005,260
5,3099.7200000000003,64
1,120.0,141
2,1163.45,50
8,2618.23,8
2,333.97,154
2,530.18,109
3,1516.24,162
1,492.65000000000003,331
1,112.32000000000001,225
2,437.96,73
4,559.97,51
3,1119.74,98
1,134.04,196
14,3130.44,3
2,595.25,30
4,1910.01,21
3,176.63,8
1,426.6,213
6,911.26,8
4,1537.09,11
3,681.64,3
1,166.20000000000002,40
4,1305.33,17
8,3536.38,8
1,43.2,18
1,640.14,117
1,383.45,222
3,1858.96,71
2,2093.32,51
5,2212.61,88
8,2204.78,8
1,310.26,242
6,1611.5900000000001,46
1,120.0,106
6,2481.13,44
1,508.58,64
2,477.79,206
5,1530.75,10
2,605.0600000000001,114
1,183.85,242
1,311.65000000000003,163
2,462.66,124
3,840.21,22
1,415.2,67
7,2232.06,16
2,454.86,16
4,1614.91,16
2,588.22,161
1,309.52000000000004,242
1,134.7,218
8,2166.98,45
4,668.5600000000001,21
5,534.28,127
1,108.98,38
2,1021.58,120
1,409.57,260
1,133.5,10
1,282.93,274
1,51.0,164
4,1078.96,157
1,90.6,215
2,163.62,5
2,701.23,79
1,225.12,43
3,912.1800000000001,19
4,2118.03,31
1,151.5,22
1,155.0,319
1,100.5,295
1,235.56,185
2,617.05,191
2,348.1,44
1,202.68,52
1,615.49,26
3,1247.69,38
3,202.10999999999999,9
1,142.4,296
3,1727.6,32
7,2900.04,10
2,1043.46,65
1,67.95,218
8,3171.23,2
1,377.64,65
19,2612.96,2
1,574.7,149
4,1475.81,130
5,1320.09,33
1,156.75,119
6,2157.73,107
7,2599.03,10
4,1730.65,71
9,1100.27,92
1,1063.0,310
2,770.03,42
6,1279.78,91
2,490.22,22
3,1937.25,3
5,927.69,10
1,387.52,99
2,813.11,57
1,265.2,218
1,322.08,17
2,363.34000000000003,50
5,1224.06,7
1,470.36,302
6,2248.5,9
6,1372.8,21
1,89.06,98
1,131.9,306
1,2661.24,319
4,1700.98,8
4,1712.89,0
2,1589.82,204
3,1116.7,53
4,1010.35,0
5,1163.23,18
1,273.0,9
3,675.56,18
3,483.25,180
2,643.9,60
2,259.05,10
1,119.93,190
9,3017.28,5
1,113.64,310
1,1837.92,155
3,434.34,110
3,2103.06,148
11,1980.57,66
3,529.62,98
3,1038.44,246
6,1892.65,29
4,596.26,17
2,461.19,11
7,1606.29,103
2,234.34,74
1,547.66,46
3,925.85,71
1,193.0,257
4,1309.6,19
1,141.85,253
1,279.05,11
2,636.51,164
6,2022.81,18
1,137.1,281
1,321.92,50
1,162.8,38
5,1040.38,26
1,1064.28,67
1,463.38,207
1,213.73,175
5,2383.2400000000002,7
1,139.56,25
2,123.80000000000001,50
1,234.47,311
1,475.37,309
4,1791.1,42
3,808.44,26
3,356.85,88
2,251.21,183
11,2429.83,19
6,3543.26,3
4,673.26,47
4,1703.65,17
6,1367.88,23
2,268.05,22
5,1314.81,11
2,275.28,187
3,455.59000000000003,100
3,990.2,61
6,2076.89,17
2,330.45,33
1,174.37,64
2,270.6,1
4,974.54,24
1,241.09,108
8,1568.38,31
1,364.21999999999997,37
3,578.61,60
6,2862.11,25
3,710.25,236
6,1516.22,24
3,2854.84,60
1,170.95,259
1,355.56,57
2,388.25,64
2,537.48,15
3,952.66,9
8,1453.35,58
1,103.25,185
15,3345.33,28
1,902.53,24
5,2573.93,5
2,652.8,150
1,289.24,311
2,757.37,10
2,186.23,18
1,164.22,151
5,859.27,19
4,2279.4900000000002,10
2,312.54,57
1,788.38,85
21,1829.6,7
3,1080.76,75
3,1931.71,95
1,1432.0,110
2,1530.3600000000001,56
1,227.39,1
2,218.06,280
7,2804.54,3
8,1237.82,179
3,512.8100000000001,12
1,168.63,3
1,138.6,16
1,114.11,40
5,986.96,5
4,1033.06,169
1,157.05,50
1,237.35999999999999,276
9,1580.29,18
4,1320.21,15
3,557.94,35
3,617.15,21
1,108.33,7
6,1740.6000000000001,19
2,866.24,11
1,221.97,44
1,393.33000000000004,305
1,213.96,10
1,660.0,274
3,1581.15,4
4,601.56,72
3,406.08000000000004,242
3,553.44,9
1,394.44,245
2,412.78000000000003,205
4,1482.66,1
1,320.58000000000004,184
5,886.7,32
2,225.85,57
1,314.1,196
4,2791.27,23
2,671.96,91
2,955.26,4
3,1006.98,50
1,114.56,262
1,344.90000000000003,266
2,609.85,36
1,443.6,50
5,2307.95,52
6,2107.38,24
1,110.46000000000001,21
1,96.12,58
1,335.87,170
2,830.76,67
2,597.09,156
1,236.04000000000002,201
4,1402.59,4
2,653.75,67
1,114.18,77
7,1926.65,1
4,1932.23,8
2,291.05,169
4,848.22,17
2,247.15,5
9,2529.93,8
2,285.74,86
1,107.95,26
4,741.37,28
2,636.24,19
5,1835.7,60
1,195.25,24
3,1259.24,241
2,392.86,280
2,765.5500000000001,234
4,1362.91,3
1,596.36,16
6,2548.2400000000002,31
3,498.95,71
2,52.0,187
4,1033.15,25
1,628.38,106
1,112.80000000000001,208
2,355.05,44
5,2114.33,30
4,591.55,137
1,172.9,264
6,1784.33,4
2,188.61,218
5,1217.27,1
1,109.13000000000001,214
3,2195.1,32
9,2526.09,10
16,2941.34,1
1,318.17,14
9,1493.96,11
1,179.0,198
2,707.3100000000001,2
4,599.48,14
11,2839.62,10
3,917.07,29
9,2236.35,9
1,160.19,24
4,867.38,24
2,307.51,43
5,1581.84,1
3,663.81,5
1,180.42,147
3,666.71,10
1,655.58,24
1,268.58,274
8,1897.57,1
3,380.02,47
8,2702.4900000000002,8
2,730.55,3
7,1314.45,42
6,3188.4,4
3,1448.21,197
4,905.04,11
6,874.98,16
5,1220.26,112
1,328.2,249
3,945.33,29
1,389.64000000000004,43
1,563.15,87
2,638.05,44
1,738.96,15
1,420.5,75
4,1484.06,144
3,1625.97,4
1,89.2,297
2,255.9,58
1,300.52,263
1,278.3,46
3,254.11,29
5,2292.97,8
2,192.60000000000002,17
2,876.4200000000001,232
1,139.26,112
2,605.34,58
11,2538.2999999999997,51
2,730.86,127
3,386.15,280
2,447.68,54
1,200.10000000000002,319
2,289.99,26
2,77.4,10
2,679.44,7
1,197.64,28
4,745.06,16
1,6.2,63
1,228.99,21
7,1319.91,2
1,131.45000000000002,166
3,173.74,52
1,157.7,51
10,3111.94,47
1,189.34,61
3,845.5500000000001,162
1,353.27,8
4,546.4,15
1,193.39000000000001,75
8,2718.6,39
10,1907.44,40
2,778.5,36
1,271.85,197
2,1110.34,200
3,657.8,73
2,272.07,64
4,507.29,21
3,321.43,180
4,1127.71,10
10,1824.5800000000002,3
3,2139.76,196
2,312.22,29
1,188.88,53
6,1720.3,17
3,102.45,10
