CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,Cluster
12438,2011-11-25,2,2906.85,14,Loyal
12442,2011-12-06,1,172.06,3,Moderate
12445,2011-11-17,1,133.4,22,Moderate
12446,2011-10-13,1,1002.31,57,Moderate
12447,2011-04-10,1,476.49,243,At-Risk
12448,2011-10-26,1,449.45,44,Moderate
12450,2011-07-06,2,197.88,156,At-Risk
12452,2011-11-23,2,430.5700000000001,16,Moderate
12453,2011-07-28,1,707.09,134,Moderate
12454,2011-10-14,1,3528.34,56,Loyal
12455,2011-09-27,6,2466.86,73,Loyal
12456,2011-10-26,3,3181.04,44,Loyal
12457,2011-10-04,7,2363.23,66,Loyal
12458,2011-09-29,2,947.4,71,Moderate
12461,2011-09-06,2,826.88,94,Moderate
12462,2011-11-21,2,1189.59,18,Moderate
12463,2011-10-17,4,1344.78,53,Loyal
12464,2011-11-29,8,1212.05,10,Loyal
12465,2011-11-22,2,742.19,17,Moderate
12468,2011-06-05,2,729.54,187,At-Risk
12475,2011-10-17,1,723.38,53,Moderate
12478,2011-12-06,1,680.99,3,Moderate
12479,2011-11-28,1,527.2,11,Moderate
12480,2011-11-11,4,3281.63,28,Loyal
12483,2011-11-22,8,2484.98,17,Loyal
12488,2011-11-30,3,1298.66,9,Moderate
12489,2011-01-07,1,334.93,336,At-Risk
12491,2011-11-01,1,460.4,38,Moderate
12492,2011-10-07,2,263.21000000000004,63,Moderate
12493,2011-06-27,2,433.74,165,At-Risk
12494,2011-11-24,5,1183.55,15,Loyal
12497,2011-09-19,1,1043.1,81,Moderate
12498,2011-11-18,3,403.7000000000001,21,Moderate
12501,2011-01-07,1,2169.39,336,At-Risk
12504,2011-11-21,2,482.05,18,Moderate
12506,2011-04-21,1,73.5,232,At-Risk
12507,2011-07-28,3,1304.81,134,Moderate
12508,2011-11-13,2,397.88,26,Moderate
12509,2011-02-28,1,176.5,284,At-Risk
12510,2011-07-20,2,982.57,142,Moderate
12512,2011-10-04,2,132.18,66,Moderate
12513,2011-08-19,1,612.29,112,Moderate
12514,2011-03-17,1,1017.68,267,At-Risk
12516,2011-09-23,2,1312.06,77,Moderate
12517,2011-11-11,5,2481.6,28,Loyal
12518,2011-12-09,5,2056.89,0,Loyal
12519,2011-10-07,1,330.84000000000003,63,Moderate
12520,2011-09-21,5,2634.26,79,Loyal
12521,2011-07-20,1,599.68,142,At-Risk
12522,2011-10-31,2,192.72,39,Moderate
12526,2011-12-09,3,1316.66,0,Loyal
12527,2011-09-19,3,348.71000000000004,81,Moderate
12528,2011-11-30,6,1933.48,9,Loyal
12530,2011-10-11,4,1662.28,59,Loyal
12531,2011-11-25,1,125.22,14,Moderate
12532,2011-11-09,1,349.83000000000004,30,Moderate
12534,2011-08-01,1,1089.18,130,Moderate
12535,2011-09-09,2,716.35,91,Moderate
12538,2011-11-10,1,363.95,29,Moderate
12541,2011-11-10,3,981.18,29,Moderate
12544,2011-11-03,1,372.7,36,Moderate
12545,2011-09-25,2,1000.39,75,Moderate
12546,2011-10-24,2,1161.5,46,Moderate
12547,2011-05-26,2,207.8,197,At-Risk
12548,2011-06-26,1,95.2,166,At-Risk
12550,2011-09-21,1,964.83,79,Moderate
12552,2011-11-01,2,437.82,38,Moderate
12556,2011-10-20,2,599.56,50,Moderate
12558,2011-12-02,1,269.96,7,Moderate
12559,2011-02-02,2,561.71,310,At-Risk
12560,2011-12-04,3,2134.01,5,Loyal
12561,2011-02-10,1,238.85,302,At-Risk
12564,2011-03-23,1,456.9,261,At-Risk
12565,2011-02-24,1,145.92000000000002,288,At-Risk
12566,2011-09-14,1,351.65,86,Moderate
12571,2011-10-31,2,519.61,39,Moderate
12572,2011-12-01,2,1020.42,8,Moderate
12573,2011-04-26,1,160.54000000000002,227,At-Risk
12574,2011-01-28,1,218.45,315,At-Risk
12576,2011-11-04,5,1315.83,35,Loyal
12577,2011-11-04,2,430.71,35,Moderate
12578,2011-11-18,2,2794.51,21,Loyal
12579,2011-09-22,1,440.42,78,Moderate
12580,2011-04-07,1,415.7,246,At-Risk
12581,2011-10-31,1,197.71,39,Moderate
12582,2011-04-15,2,511.36,238,At-Risk
12585,2011-04-19,1,777.25,234,At-Risk
12586,2011-11-22,1,196.94000000000003,17,Moderate
12587,2011-12-02,1,144.0,7,Moderate
12588,2011-10-31,1,214.9,39,Moderate
12589,2011-11-11,2,646.68,28,Moderate
12591,2011-01-26,1,452.85,317,At-Risk
12592,2011-09-08,2,437.6,92,Moderate
12593,2011-08-23,3,418.1,108,Moderate
12596,2011-10-19,2,618.27,51,Moderate
12598,2011-11-30,8,3023.08,9,Loyal
12599,2011-11-10,7,1032.58,29,Loyal
12600,2011-11-11,8,2324.24,28,Loyal
12601,2011-06-03,5,577.0600000000001,189,At-Risk
12602,2011-10-12,1,153.12,58,Moderate
12603,2011-11-18,1,739.1999999999999,21,Moderate
12604,2011-09-21,2,254.18,79,Moderate
12607,2011-10-10,1,1579.51,60,Moderate
12609,2011-09-22,3,1126.85,78,Moderate
12610,2011-11-17,5,2099.54,22,Loyal
12611,2011-10-18,1,1193.32,52,Moderate
12612,2011-09-26,1,704.04,74,Moderate
12613,2011-10-13,5,3344.38,57,Loyal
12614,2011-03-07,1,315.6,277,At-Risk
12615,2011-12-07,4,2291.19,2,Loyal
12616,2011-09-05,2,713.3,95,Moderate
12617,2011-11-10,1,352.98,29,Moderate
12618,2011-11-18,1,177.31,21,Moderate
12620,2011-11-25,3,1339.41,14,Loyal
12622,2011-04-21,1,180.1,232,At-Risk
12623,2011-03-08,1,305.1,276,At-Risk
12624,2011-08-25,2,641.13,106,Moderate
12625,2011-05-12,2,2683.82,211,Loyal
12628,2011-12-05,3,786.46,4,Moderate
12630,2011-11-30,2,1270.88,9,Moderate
12631,2011-10-13,1,640.5,57,Moderate
12633,2011-10-12,4,2163.98,58,Loyal
12635,2011-09-11,2,1689.18,89,Moderate
12638,2011-11-06,1,671.69,33,Moderate
12639,2011-04-15,1,486.1,238,At-Risk
12640,2011-11-16,3,1174.58,23,Moderate
12641,2011-08-16,1,185.9,115,Moderate
12642,2011-11-14,3,1013.26,25,Moderate
12643,2011-08-03,6,3344.64,128,Loyal
12644,2011-08-02,1,477.91,129,Moderate
12645,2011-11-06,4,1775.18,33,Loyal
12646,2011-12-05,2,1346.97,4,Moderate
12647,2011-11-17,8,2529.22,22,Loyal
12648,2011-07-08,1,318.05,154,At-Risk
12649,2011-08-24,3,623.51,107,Moderate
12650,2011-12-06,1,314.44,3,Moderate
12651,2011-01-09,1,114.0,334,At-Risk
12652,2011-01-12,1,919.98,331,At-Risk
12653,2011-07-14,2,2209.85,148,Loyal
12654,2011-11-29,5,601.98,10,Loyal
12657,2011-11-28,4,1643.18,11,Loyal
12658,2011-11-21,1,686.05,18,Moderate
12659,2011-11-10,1,91.68,29,Moderate
12660,2011-11-28,1,245.1,11,Moderate
12665,2011-01-19,1,63.0,324,At-Risk
12667,2011-10-12,1,620.13,58,Moderate
12668,2011-11-28,3,3337.28,11,Loyal
12669,2011-07-12,3,2744.03,150,Loyal
12670,2011-11-29,5,2996.05,10,Loyal
12672,2011-01-14,1,225.9,329,At-Risk
12673,2011-12-04,2,610.52,5,Moderate
12674,2011-11-01,4,1970.6,38,Loyal
12676,2011-11-15,6,1331.39,24,Loyal
12679,2011-10-12,4,1113.02,58,Loyal
12680,2011-12-09,4,880.81,0,Moderate
12684,2011-12-02,7,2283.63,7,Loyal
12685,2011-11-11,6,2863.08,28,Loyal
12689,2011-11-14,2,1247.61,25,Moderate
12690,2011-05-18,1,389.01,205,At-Risk
12691,2011-11-11,5,855.8,28,Loyal
12693,2011-08-04,4,855.91,127,Moderate
12694,2011-09-30,2,869.67,70,Moderate
12695,2011-12-02,4,582.1,7,Moderate
12697,2011-11-11,3,957.59,28,Moderate
12701,2011-09-21,2,797.71,79,Moderate
12702,2011-11-20,1,219.0,19,Moderate
12703,2011-09-29,1,283.55,71,Moderate
12704,2011-12-02,8,2340.84,7,Loyal
12707,2011-02-21,1,603.42,291,At-Risk
12710,2011-09-04,3,1149.02,96,Moderate
12713,2011-12-09,1,848.55,0,Moderate
12715,2011-08-25,1,343.36,106,Moderate
12716,2011-12-06,2,1053.49,3,Moderate
12717,2011-07-11,2,1030.98,151,Moderate
12718,2011-09-29,1,238.25,71,Moderate
12719,2011-12-04,2,644.95,5,Moderate
12721,2011-11-08,5,2369.53,31,Loyal
12722,2011-09-15,4,997.63,85,Loyal
12723,2011-12-06,5,725.07,3,Loyal
12724,2011-12-04,4,1031.41,5,Loyal
12726,2011-11-11,6,2438.82,28,Loyal
12728,2011-09-29,4,836.33,71,Moderate
12729,2011-08-18,1,453.01,113,Moderate
12732,2011-06-13,1,236.26,179,At-Risk
12733,2011-04-19,1,383.95,234,At-Risk
12735,2011-01-28,2,779.5699999999999,315,At-Risk
12736,2011-01-11,1,234.0,332,At-Risk
12739,2011-09-22,2,1013.04,78,Moderate
12740,2011-10-07,1,427.6,63,Moderate
12743,2011-07-28,2,540.13,134,Moderate
12750,2011-08-03,1,275.88,128,Moderate
12754,2011-04-18,3,3010.74,235,Loyal
12755,2011-03-04,1,17.549999999999997,280,At-Risk
12756,2011-09-14,1,112.08,86,Moderate
12758,2011-08-15,2,2791.59,116,Loyal
12759,2011-10-18,3,1531.44,52,Loyal
12762,2011-12-02,2,1898.52,7,Loyal
12763,2011-07-24,1,174.0,138,At-Risk
12764,2011-01-27,1,1693.88,316,At-Risk
12769,2011-04-15,1,1143.6,238,At-Risk
12770,2011-05-13,1,1351.45,210,At-Risk
12772,2011-10-11,1,892.47,59,Moderate
12775,2011-11-22,5,1386.04,17,Loyal
12778,2011-11-20,6,822.23,19,Loyal
12781,2011-10-07,2,826.74,63,Moderate
12782,2011-12-05,4,1867.42,4,Loyal
12783,2011-12-07,6,2225.91,2,Loyal
12784,2011-11-30,2,532.82,9,Moderate
12787,2011-11-30,3,463.66,9,Moderate
12789,2011-10-05,1,91.85,65,Moderate
12790,2011-05-31,1,324.92,192,At-Risk
12792,2011-03-28,1,400.54,256,At-Risk
12793,2011-01-09,1,413.68,334,At-Risk
12794,2011-10-17,2,860.41,53,Moderate
12795,2011-11-21,1,430.48,18,Moderate
12802,2011-06-06,1,427.58,186,At-Risk
12808,2011-11-03,2,354.25,36,Moderate
12809,2011-06-15,1,489.31,177,At-Risk
12811,2011-03-24,3,514.85,260,At-Risk
12812,2011-10-26,1,229.64,44,Moderate
12814,2011-08-30,1,125.92,101,Moderate
12815,2011-07-15,2,1063.46,147,Moderate
12816,2011-09-05,2,572.2,95,Moderate
12817,2011-03-03,1,166.04000000000002,281,At-Risk
12818,2011-03-23,1,1542.08,261,At-Risk
12820,2011-12-06,4,942.34,3,Loyal
12821,2011-05-09,1,92.72,214,At-Risk
12822,2011-09-30,2,948.88,70,Moderate
12823,2011-09-26,5,1759.5,74,Loyal
12824,2011-10-11,1,397.12,59,Moderate
12826,2011-12-07,6,1319.72,2,Loyal
12827,2011-12-04,3,430.15,5,Moderate
12828,2011-12-07,6,1018.71,2,Loyal
12829,2011-01-07,1,207.25,336,At-Risk
12831,2011-03-22,1,215.05,262,At-Risk
12832,2011-11-07,2,383.03,32,Moderate
12833,2011-07-17,1,417.38,145,At-Risk
12834,2011-03-02,1,312.38,282,At-Risk
12836,2011-10-11,4,2610.36,59,Loyal
12837,2011-06-19,1,134.1,173,At-Risk
12838,2011-11-06,1,281.16,33,Moderate
12840,2011-07-19,4,2726.77,143,Loyal
12842,2011-09-30,2,1118.99,70,Moderate
12843,2011-10-05,8,1702.26,65,Loyal
12844,2011-11-10,2,325.96000000000004,29,Moderate
12845,2011-03-17,4,354.09000000000003,267,At-Risk
12847,2011-11-17,1,843.64,22,Moderate
12849,2011-11-08,2,1010.29,31,Moderate
12851,2011-09-04,1,131.81,96,Moderate
12852,2011-02-18,1,311.55,294,At-Risk
12853,2011-07-28,6,1957.1,134,Loyal
12854,2011-09-22,3,1316.25,78,Moderate
12856,2011-12-02,6,2170.78,7,Loyal
12857,2011-05-13,2,1106.4,210,At-Risk
12863,2011-10-18,1,521.2,52,Moderate
12864,2011-07-24,1,147.12,138,At-Risk
12865,2011-11-13,2,1568.23,26,Moderate
12866,2011-03-01,1,559.12,283,At-Risk
12868,2011-06-07,5,1403.76,185,Loyal
12871,2011-09-16,2,380.64,84,Moderate
12872,2011-01-17,1,221.44,326,At-Risk
12873,2011-03-02,1,374.0,282,At-Risk
12875,2011-07-19,1,49.470000000000006,143,At-Risk
12876,2011-10-13,2,2218.02,57,Loyal
12878,2011-04-17,2,854.99,236,At-Risk
12879,2011-10-26,3,573.22,44,Moderate
12881,2011-03-09,1,298.0,275,At-Risk
12882,2011-11-30,2,1463.04,9,Moderate
12883,2011-11-15,4,703.47,24,Moderate
12884,2011-09-12,1,309.05,88,Moderate
12885,2011-10-07,3,1175.22,63,Moderate
12886,2011-10-03,2,1378.4,67,Moderate
12888,2011-05-09,2,354.12,214,At-Risk
12890,2011-11-15,1,376.72,24,Moderate
12891,2011-06-07,3,331.0,185,At-Risk
12893,2011-11-09,1,176.55,30,Moderate
12895,2011-10-28,2,372.8,42,Moderate
12897,2011-05-19,2,216.5,204,At-Risk
12902,2011-03-20,1,138.68,264,At-Risk
12904,2011-11-21,2,496.06,18,Moderate
12906,2011-11-28,5,2919.81,11,Loyal
12908,2011-06-16,2,750.0,176,At-Risk
12909,2011-10-31,5,2178.67,39,Loyal
12910,2011-11-16,8,3075.04,23,Loyal
12912,2011-12-07,5,1662.3,2,Loyal
12913,2011-12-05,4,2066.01,4,Loyal
12915,2011-07-14,1,164.0,148,At-Risk
12916,2011-07-24,4,2944.95,138,Loyal
12917,2011-08-03,1,594.0,128,Moderate
12919,2011-12-01,6,1335.19,8,Loyal
12920,2011-11-22,1,162.78,17,Moderate
12922,2011-07-01,1,405.38,161,At-Risk
12923,2011-10-06,1,172.82,64,Moderate
12924,2011-09-12,4,933.7,88,Moderate
12925,2011-12-05,2,694.05,4,Moderate
12928,2011-11-04,4,1670.36,35,Loyal
12929,2011-02-01,1,117.85,311,At-Risk
12930,2011-09-22,2,415.8,78,Moderate
12933,2011-11-15,3,607.53,24,Moderate
12935,2011-12-07,7,2160.7,2,Loyal
12936,2011-11-22,4,1063.9,17,Loyal
12937,2011-11-24,4,1504.27,15,Loyal
12938,2011-11-14,1,114.14,25,Moderate
12940,2011-10-16,2,899.69,54,Moderate
12942,2011-07-31,2,416.85,131,Moderate
12944,2011-11-04,1,317.56,35,Moderate
12945,2011-02-24,1,462.95,288,At-Risk
12947,2011-07-19,5,1299.95,143,Loyal
12948,2011-11-23,7,2064.95,16,Loyal
12950,2011-12-07,3,1843.0,2,Loyal
12951,2011-12-01,6,1064.07,8,Loyal
12952,2011-12-04,4,1387.79,5,Loyal
12953,2011-11-30,1,329.85,9,Moderate
12956,2011-02-06,1,108.07,306,At-Risk
12962,2011-12-02,2,266.39,7,Moderate
12963,2011-12-01,7,1490.83,8,Loyal
12965,2011-09-11,1,769.8100000000001,89,Moderate
12966,2011-11-30,1,160.18,9,Moderate
12968,2011-08-19,1,135.95,112,Moderate
12970,2011-12-02,4,405.47,7,Moderate
12974,2011-05-26,1,144.8,197,At-Risk
12976,2011-05-12,1,738.6,211,At-Risk
12977,2011-07-06,1,39.24,156,At-Risk
12981,2011-11-10,2,372.22,29,Moderate
12982,2011-04-11,1,390.54,242,At-Risk
12984,2011-11-21,1,97.5,18,Moderate
12985,2011-12-09,2,1239.38,0,Moderate
12987,2011-09-27,2,558.7,73,Moderate
12988,2011-02-20,1,505.82,292,At-Risk
12990,2011-11-08,3,409.5,31,Moderate
12991,2011-11-16,2,503.76,23,Moderate
12993,2011-11-16,4,414.76,23,Moderate
12994,2011-12-05,3,974.42,4,Moderate
12995,2011-09-15,1,211.32,85,Moderate
12997,2011-11-17,4,1226.89,22,Loyal
12999,2011-05-27,3,455.88,196,At-Risk
13000,2011-08-25,2,333.1,106,Moderate
13002,2011-01-25,1,120.95,318,At-Risk
13003,2011-08-26,3,149.05,105,Moderate
13005,2011-06-19,2,513.7,173,At-Risk
13006,2011-10-14,1,81.57,56,Moderate
13008,2011-01-20,1,229.47,323,At-Risk
13012,2011-11-30,8,1646.84,9,Loyal
13015,2011-10-17,5,3339.64,53,Loyal
13016,2011-09-27,3,789.89,73,Moderate
13017,2011-12-02,1,204.0,7,Moderate
13021,2011-12-05,8,2459.03,4,Loyal
13023,2011-10-06,2,689.9,64,Moderate
13026,2011-12-08,5,975.36,1,Loyal
13028,2011-11-17,2,661.3199999999999,22,Moderate
13029,2011-11-09,2,865.0,30,Moderate
13030,2011-11-28,1,350.08,11,Moderate
13032,2011-10-18,2,1010.18,52,Moderate
13034,2011-10-16,1,476.91,54,Moderate
13035,2011-09-27,2,921.88,73,Moderate
13037,2011-07-24,3,881.07,138,Moderate
13038,2011-09-20,3,908.46,80,Moderate
13040,2011-12-01,2,676.99,8,Moderate
13043,2011-03-11,1,516.42,273,At-Risk
13044,2011-02-21,1,560.47,291,At-Risk
13045,2011-09-01,1,305.28000000000003,99,Moderate
13046,2011-11-09,2,629.31,30,Moderate
13047,2011-11-08,7,2870.91,31,Loyal
13048,2011-11-25,4,1819.41,14,Loyal
13049,2011-10-06,2,656.6800000000001,64,Moderate
13052,2011-05-11,1,348.15000000000003,212,At-Risk
13055,2011-09-22,3,1214.41,78,Moderate
13058,2011-11-15,3,271.40000000000003,24,Moderate
13059,2011-04-04,1,183.4,249,At-Risk
13060,2011-03-31,1,307.53000000000003,253,At-Risk
13061,2011-09-28,1,248.61,72,Moderate
13062,2011-06-01,1,346.98,191,At-Risk
13064,2011-11-27,4,1105.59,12,Loyal
13066,2011-11-15,2,470.8,24,Moderate
13067,2011-09-18,1,115.46,82,Moderate
13068,2011-11-29,2,344.0,10,Moderate
13070,2011-05-31,1,228.8,192,At-Risk
13072,2011-03-18,1,177.15,266,At-Risk
13075,2011-08-02,1,919.61,129,Moderate
13077,2011-12-08,3,414.3,1,Moderate
13079,2011-12-05,5,220.1,4,Moderate
13080,2011-06-13,1,58.08,179,At-Risk
13083,2011-12-05,2,303.75,4,Moderate
13085,2011-07-05,2,416.08,157,At-Risk
13091,2011-11-11,1,345.82,28,Moderate
13092,2011-09-30,4,292.38,70,Moderate
13095,2011-09-30,1,74.39999999999999,70,Moderate
13099,2011-09-01,1,207.36,99,Moderate
13101,2011-04-19,1,101.19,234,At-Risk
13103,2011-10-31,1,243.94,39,Moderate
13104,2011-12-06,5,996.72,3,Loyal
13106,2011-07-29,1,76.5,133,Moderate
13107,2011-10-26,4,1531.62,44,Loyal
13109,2011-10-11,2,786.54,59,Moderate
13110,2011-11-08,7,1488.67,31,Loyal
13115,2011-11-28,4,2294.78,11,Loyal
13116,2011-07-24,1,501.14,138,Moderate
13117,2011-11-18,6,596.76,21,Loyal
13118,2011-11-20,5,1197.81,19,Loyal
13120,2011-04-15,1,30.6,238,At-Risk
13121,2011-03-15,1,283.73,269,At-Risk
13122,2011-09-06,2,922.39,94,Moderate
13124,2011-09-11,2,2500.01,89,Loyal
13126,2011-12-05,6,1876.2,4,Loyal
13127,2011-09-23,1,259.17,77,Moderate
13130,2011-09-06,1,64.0,94,Moderate
13131,2011-11-16,3,1073.3,23,Moderate
13132,2011-03-23,1,77.3,261,At-Risk
13133,2011-03-11,2,109.8,273,At-Risk
13134,2011-09-15,4,1793.58,85,Loyal
13135,2011-05-27,1,3096.0,196,Loyal
13136,2011-10-14,5,2607.61,56,Loyal
13138,2011-11-17,5,769.16,22,Loyal
13140,2011-08-23,2,264.21,108,Moderate
13141,2011-09-16,5,2388.75,84,Loyal
13142,2011-11-20,1,307.09000000000003,19,Moderate
13144,2011-01-11,1,110.95,332,At-Risk
13145,2011-10-31,3,323.52,39,Moderate
13146,2011-11-13,1,228.91,26,Moderate
13147,2011-11-29,4,712.8,10,Moderate
13149,2011-11-25,4,1676.06,14,Loyal
13151,2011-02-17,1,1257.87,295,At-Risk
13153,2011-12-04,1,486.22,5,Moderate
13155,2011-11-06,3,592.06,33,Moderate
13157,2011-10-21,4,1741.22,49,Loyal
13158,2011-09-06,4,1201.06,94,Loyal
13159,2011-12-01,4,1429.35,8,Loyal
13160,2011-11-17,1,91.8,22,Moderate
13161,2011-01-30,1,112.75,313,At-Risk
13162,2011-08-09,4,1688.29,122,Loyal
13165,2011-10-24,1,666.8399999999999,46,Moderate
13166,2011-03-01,1,417.2,283,At-Risk
13167,2011-11-21,4,791.33,18,Moderate
13168,2011-11-03,4,1299.59,36,Loyal
13169,2011-10-07,2,712.88,63,Moderate
13170,2011-11-13,1,108.81,26,Moderate
13171,2011-11-18,3,468.41,21,Moderate
13173,2011-12-05,1,187.71,4,Moderate
13174,2011-11-23,2,1373.76,16,Moderate
13176,2011-10-24,1,481.49,46,Moderate
13177,2011-10-06,1,282.45,64,Moderate
13182,2011-10-25,1,121.18,45,Moderate
13185,2011-03-17,1,71.4,267,At-Risk
13186,2011-10-31,3,1575.89,39,Loyal
13187,2011-01-06,1,236.02,337,At-Risk
13188,2011-11-28,1,114.6,11,Moderate
13189,2011-11-21,2,260.68,18,Moderate
13192,2011-09-05,2,911.94,95,Moderate
13193,2011-10-09,1,112.08,61,Moderate
13194,2011-07-27,1,60.7,135,At-Risk
13196,2011-11-28,4,1797.78,11,Loyal
13198,2011-11-29,5,3016.69,10,Loyal
13200,2011-11-20,4,870.09,19,Moderate
13203,2011-11-30,4,869.46,9,Moderate
13207,2011-11-24,2,250.26,15,Moderate
13208,2011-10-12,6,1217.65,58,Loyal
13210,2011-09-07,1,353.48,93,Moderate
13211,2011-11-29,2,984.72,10,Moderate
13212,2011-11-20,3,786.83,19,Moderate
13213,2011-10-14,5,1520.58,56,Loyal
13216,2011-03-17,1,333.74,267,At-Risk
13217,2011-08-09,3,533.98,122,Moderate
13218,2011-08-04,1,62.64,127,Moderate
13220,2011-09-22,4,819.2900000000001,78,Moderate
13221,2011-04-13,1,349.25,240,At-Risk
13223,2011-05-23,2,163.2,200,At-Risk
13224,2011-10-10,2,2155.95,60,Loyal
13226,2011-03-11,1,108.21,273,At-Risk
13227,2011-05-22,1,257.7,201,At-Risk
13228,2011-09-19,1,358.0,81,Moderate
13229,2011-04-28,1,160.95,225,At-Risk
13232,2011-11-27,7,1328.35,12,Loyal
13233,2011-09-26,2,605.12,74,Moderate
13235,2011-05-11,1,1031.07,212,At-Risk
13236,2011-11-15,2,744.85,24,Moderate
13238,2011-11-22,3,609.58,17,Moderate
13239,2011-03-23,1,329.56,261,At-Risk
13240,2011-09-04,3,439.58,96,Moderate
13242,2011-08-19,3,270.40000000000003,112,Moderate
13243,2011-05-20,1,585.12,203,At-Risk
13244,2011-09-08,1,121.74,92,Moderate
13245,2011-10-20,1,430.5,50,Moderate
13246,2011-11-21,6,1961.52,18,Loyal
13247,2011-11-22,4,501.12,17,Moderate
13248,2011-08-07,2,465.68,124,Moderate
13249,2011-09-08,3,711.41,92,Moderate
13253,2011-07-06,2,1030.4,156,At-Risk
13255,2011-11-30,1,173.81,9,Moderate
13258,2011-11-28,3,672.83,11,Moderate
13259,2011-10-09,1,283.18,61,Moderate
13260,2011-10-09,1,557.62,61,Moderate
13261,2011-03-16,2,944.1,268,At-Risk
13262,2011-03-21,1,200.29,263,At-Risk
13265,2011-10-17,5,2092.66,53,Loyal
13271,2011-11-02,1,211.49,37,Moderate
13272,2011-11-08,2,276.56,31,Moderate
13273,2011-08-18,1,138.98,113,Moderate
13276,2011-10-07,2,590.9300000000001,63,Moderate
13277,2011-11-24,4,258.4,15,Moderate
13278,2011-10-30,1,542.73,40,Moderate
13279,2011-09-22,1,137.75,78,Moderate
13280,2011-08-09,3,798.46,122,Moderate
13282,2011-11-21,3,1132.14,18,Moderate
13283,2011-10-11,2,93.66,59,Moderate
13284,2011-01-13,1,201.19,330,At-Risk
13285,2011-11-16,4,2709.12,23,Loyal
13291,2011-07-07,1,361.11,155,At-Risk
13292,2011-11-01,2,578.94,38,Moderate
13294,2011-06-03,2,873.74,189,At-Risk
13296,2011-07-25,1,87.4,137,At-Risk
13297,2011-12-02,4,2089.85,7,Loyal
13298,2011-12-08,1,360.0,1,Moderate
13299,2011-03-16,1,142.5,268,At-Risk
13300,2011-06-23,1,371.89,169,At-Risk
13301,2011-08-28,4,618.09,103,Moderate
13302,2011-07-07,1,63.75,155,At-Risk
13307,2011-08-11,1,15.0,120,Moderate
13308,2011-11-17,3,1385.51,22,Loyal
13309,2011-12-02,5,1456.79,7,Loyal
13310,2011-11-11,3,1132.03,28,Moderate
13311,2011-12-05,2,598.57,4,Moderate
13313,2011-11-17,5,1555.3200000000002,22,Loyal
13314,2011-12-08,3,775.94,1,Moderate
